factor,symbol,quantile,horizon,n,mean,median,win_rate,max_adverse_excursion,max_favorable_excursion,tail_loss_p05,evidence_type
oi_change_pct,I,1,5,277,0.0024544450538683408,0.0022658610271903967,0.5342960288808665,-0.014312398848848256,0.015366697281493343,-0.0575857542796824,local_evidence
oi_change_pct,I,1,10,277,0.004507216359922925,0.0021328458257159344,0.5379061371841155,-0.021824940354538788,0.0268026065464851,-0.07413562746439858,local_evidence
oi_change_pct,I,1,20,273,0.0121470594614505,0.008364312267657992,0.5824175824175825,-0.03220028510960846,0.04437141525063192,-0.10146001020525738,local_evidence
oi_change_pct,I,1,40,267,0.03215340367796007,0.01588729016786572,0.6367041198501873,-0.0442205442781546,0.07489171675386642,-0.09653753361378167,local_evidence
oi_change_pct,I,2,1,361,0.002022874733842402,0.0006127450980393245,0.5207756232686981,0.002022874733842402,0.002022874733842402,-0.01966717095310133,local_evidence
oi_change_pct,I,2,5,360,0.0058031706768561795,0.003795527295928136,0.5666666666666667,-0.010485046452074431,0.018213066655700015,-0.03929309469994003,local_evidence
oi_change_pct,I,2,10,359,0.00976262509608701,0.007068452380952328,0.584958217270195,-0.019187942475066305,0.03032909113746092,-0.06523399570986994,local_evidence
oi_change_pct,I,2,20,359,0.017304696171879297,0.008388675288360625,0.5877437325905293,-0.0282901173925232,0.048746155454761596,-0.06608843162845991,local_evidence
oi_change_pct,I,2,40,349,0.03145568920122147,0.02025957581513138,0.6446991404011462,-0.04104744327294733,0.07746579438115209,-0.0883441835588879,local_evidence
oi_change_pct,I,3,1,341,0.0009544626808841563,0.0005934718100890635,0.5161290322580645,0.0009544626808841563,0.0009544626808841563,-0.022028262676641708,local_evidence
oi_change_pct,I,3,5,340,0.0040201064290355595,0.0025975142981941035,0.5588235294117647,-0.011932470246423946,0.016708307829657137,-0.04652702303684958,local_evidence
oi_change_pct,I,3,10,339,0.008057067042332063,0.004158669225847733,0.5575221238938053,-0.019462763404985078,0.0285895837500167,-0.05557808142583173,local_evidence
oi_change_pct,I,3,20,339,0.010798418818212235,0.006068348770360998,0.5575221238938053,-0.03154932803367809,0.04369676978816991,-0.07432386985653387,local_evidence
oi_change_pct,I,3,40,337,0.021610314405645592,0.014145141451414434,0.5964391691394659,-0.04590489003414879,0.07008790392922572,-0.1333513745820202,local_evidence
oi_change_pct,I,4,1,356,0.0009391758182650456,0.0012341870968233248,0.5421348314606742,0.0009391758182650456,0.0009391758182650456,-0.023303225940801253,local_evidence
oi_change_pct,I,4,5,354,0.0026363769286378465,0.0023391275579910387,0.5282485875706214,-0.013158026725885685,0.016217799055074866,-0.048094374817115045,local_evidence
oi_change_pct,I,4,10,352,0.005659923396893454,0.005629409116953088,0.5539772727272727,-0.023264307785144604,0.027959067746584063,-0.06723530607175919,local_evidence
oi_change_pct,I,4,20,349,0.013658674982957444,0.008341675008341598,0.5730659025787965,-0.034859447965808345,0.046409850699971875,-0.08260572665466989,local_evidence
oi_change_pct,I,4,40,348,0.027882695707714806,0.01352791379642182,0.5919540229885057,-0.04893695956183053,0.07492653236181819,-0.10776290339000306,local_evidence
oi_change_pct,I,5,1,263,5.1879385107129883e-05,0.0006036824630244464,0.532319391634981,5.1879385107129883e-05,5.1879385107129883e-05,-0.025602755453501734,local_evidence
oi_change_pct,I,5,5,263,0.0028859913235742877,0.002157164869029282,0.5247148288973384,-0.013613565928333396,0.01543990872429062,-0.054414629239406986,local_evidence
oi_change_pct,I,5,10,262,0.006754059542530629,0.009277635251787042,0.583969465648855,-0.021533429869591433,0.02716641962875547,-0.06715424474725894,local_evidence
oi_change_pct,I,5,20,259,0.014624949824057395,0.00911458333333326,0.5907335907335908,-0.032074497835038566,0.044798647438106354,-0.08458086715520478,local_evidence
oi_change_pct,I,5,40,258,0.026702914719596692,0.016051822996407172,0.6124031007751938,-0.04514050317769785,0.06921650724569303,-0.10043463075788743,local_evidence
oi_change_pct,J,1,1,219,0.0015629887986436941,0.0015797788309637184,0.547945205479452,0.0015629887986436941,0.0015629887986436941,-0.024803988333628114,local_evidence
oi_change_pct,J,1,5,217,0.005673243909012106,0.0064713896457766484,0.576036866359447,-0.012115758845579751,0.020764583099153314,-0.054127682134457934,local_evidence
oi_change_pct,J,1,10,216,0.006615473151183627,-0.0025149110659183904,0.4861111111111111,-0.02190525309411469,0.034206330281906706,-0.0510401991788888,local_evidence
oi_change_pct,J,1,20,209,0.014402622128006934,0.0001341561577676842,0.5023923444976076,-0.035628895903290596,0.05463634106630648,-0.06803789082358158,local_evidence
oi_change_pct,J,1,40,206,0.025297086526851458,0.010261067856931483,0.5533980582524272,-0.05137108735887792,0.08874465958765895,-0.10399044925911519,local_evidence
oi_change_pct,J,2,1,327,-0.00020114981670535102,-0.00025789813023857633,0.4892966360856269,-0.00020114981670535102,-0.00020114981670535102,-0.03039266592517883,local_evidence
oi_change_pct,J,2,5,327,-0.0007340942778528628,-0.0035895901884535064,0.44648318042813456,-0.016961574710826828,0.016658115878745983,-0.05055158472909028,local_evidence
oi_change_pct,J,2,10,327,0.004076176529222697,-0.00019182812200269073,0.4954128440366973,-0.02656235453992316,0.029581109122649215,-0.06560696372256485,local_evidence
oi_change_pct,J,2,20,326,0.01350639505443835,0.002347558720565912,0.50920245398773,-0.03766669300813046,0.05267774646464858,-0.08552542481721404,local_evidence
oi_change_pct,J,2,40,320,0.021295113938017456,0.01930925138163664,0.5375,-0.056842721401656617,0.0874340238223433,-0.14315506836490632,local_evidence
oi_change_pct,J,3,1,448,0.0007463061413551901,8.726003490400203e-05,0.5,0.0007463061413551901,0.0007463061413551901,-0.024333325311321763,local_evidence
oi_change_pct,J,3,5,448,0.0012750315160160648,0.00097607787905718,0.5245535714285714,-0.01641230532607612,0.019586002477323488,-0.05897219553530647,local_evidence
oi_change_pct,J,3,10,446,0.0031297963030437743,-0.003020602024965846,0.47757847533632286,-0.027486759934054906,0.03294656695802526,-0.07907143959220533,local_evidence
oi_change_pct,J,3,20,445,0.002614893650025147,-0.0013515796587261208,0.48314606741573035,-0.04218576421989085,0.050540636816448575,-0.09972085810286895,local_evidence
oi_change_pct,J,3,40,438,0.007956795883742953,-0.00180599340125559,0.4931506849315068,-0.06004534496861707,0.0767894794205547,-0.1264979820832722,local_evidence
oi_change_pct,J,4,1,393,0.00042375773959563764,-0.0003610108303249149,0.4860050890585242,0.00042375773959563764,0.00042375773959563764,-0.023447646886363537,local_evidence
oi_change_pct,J,4,5,392,0.004880318362486685,0.004437184220498991,0.5561224489795918,-0.014240566547328123,0.019398859364364144,-0.050180375183108306,local_evidence
oi_change_pct,J,4,10,391,0.005235667236555311,0.0037275499830566883,0.5396419437340153,-0.02487173800477041,0.03322713403527329,-0.07196129546514807,local_evidence
oi_change_pct,J,4,20,391,0.005316833207748148,0.0027667300708975606,0.5191815856777494,-0.040555784922051814,0.051024666808314724,-0.0997620809466011,local_evidence
oi_change_pct,J,4,40,388,0.013816646332302495,0.009247902430099209,0.5412371134020618,-0.05934091055871122,0.07913821559465936,-0.14174218876195524,local_evidence
oi_change_pct,J,5,1,211,0.00019457830315534102,0.0,0.4976303317535545,0.00019457830315534102,0.00019457830315534102,-0.02081369555572954,local_evidence
oi_change_pct,J,5,5,210,0.002251531951932521,0.001373469741676181,0.5285714285714286,-0.015648474406425958,0.01733404991019015,-0.04960968452701086,local_evidence
oi_change_pct,J,5,10,209,0.007324015386696545,0.0025809781907342177,0.5263157894736842,-0.024543741120601644,0.032462010055615165,-0.056529892917776325,local_evidence
oi_change_pct,J,5,20,208,0.018741478012970162,0.003256042282751226,0.5288461538461539,-0.03544585968693646,0.05745706620194713,-0.07726155642329084,local_evidence
oi_change_pct,J,5,40,207,0.03405328441277899,0.01637916013242724,0.5603864734299517,-0.048854281985767814,0.09612291896239072,-0.09557491190737125,local_evidence
oi_change_pct,JM,1,1,243,0.0006278437729029421,-0.0011348161597821704,0.46502057613168724,0.0006278437729029421,0.0006278437729029421,-0.024161638649018845,local_evidence
oi_change_pct,JM,1,5,241,0.004591192073592675,0.003090909090909033,0.5269709543568465,-0.01473991420883544,0.02163848608599418,-0.04561949196474857,local_evidence
oi_change_pct,JM,1,10,241,0.009484227167548601,0.006361829025844923,0.5186721991701245,-0.025004695109938486,0.03736211984705007,-0.0627431906614786,local_evidence
oi_change_pct,JM,1,20,236,0.017347341007866994,0.0021278528714939737,0.5127118644067796,-0.03858827156375691,0.06235688647102575,-0.08547376561272094,local_evidence
oi_change_pct,JM,1,40,233,0.03366460230364947,0.012786685609904591,0.5407725321888412,-0.058760392610390684,0.10291628268453604,-0.1278536545836378,local_evidence
oi_change_pct,JM,2,1,354,0.0011248390889394562,0.00030661833122969107,0.5056497175141242,0.0011248390889394562,0.0011248390889394562,-0.02879766649843025,local_evidence
oi_change_pct,JM,2,5,353,0.0004879045041743961,0.001477377654663048,0.5155807365439093,-0.01780987539565111,0.021149436640623107,-0.06202933942064379,local_evidence
oi_change_pct,JM,2,10,353,0.0023471009940123706,-0.0003924646781789942,0.4985835694050991,-0.03027053417334911,0.03438893925315675,-0.0799630023084857,local_evidence
oi_change_pct,JM,2,20,352,0.006749066450016724,0.0042718403671835325,0.5227272727272727,-0.04688333172081551,0.059126418277882516,-0.11502108483723239,local_evidence
oi_change_pct,JM,2,40,343,0.004323523475944687,-0.0015455950540957941,0.4956268221574344,-0.07487392290609947,0.09002877775341453,-0.16319078499009193,local_evidence
oi_change_pct,JM,3,1,395,-7.844734643249133e-05,-0.0001680954782316002,0.4835443037974684,-7.844734643249133e-05,-7.844734643249133e-05,-0.03405721959043606,local_evidence
oi_change_pct,JM,3,5,395,0.0012850362807580544,-0.0019308746862328752,0.46835443037974683,-0.01934057282731954,0.020964458633506638,-0.060783407518261966,local_evidence
oi_change_pct,JM,3,10,394,0.0014139677508208225,-0.004217633536892029,0.45685279187817257,-0.03314279067963985,0.03627997875335269,-0.08824210736481213,local_evidence
oi_change_pct,JM,3,20,392,0.0011090464303134418,0.0027824849309163735,0.5102040816326531,-0.05300436683463411,0.05687758361072832,-0.14100061410002693,local_evidence
oi_change_pct,JM,3,40,389,0.0038434331977646135,-0.003565768621236143,0.4884318766066838,-0.07795751071831875,0.09674229884277435,-0.17000333898970593,local_evidence
oi_change_pct,JM,4,1,335,0.0005155341870910692,0.0,0.49850746268656715,0.0005155341870910692,0.0005155341870910692,-0.025610900237337576,local_evidence
oi_change_pct,JM,4,5,335,0.003966652602044971,0.0033415406260992597,0.5492537313432836,-0.01671765689334733,0.021455429898811117,-0.054828203509665184,local_evidence
oi_change_pct,JM,4,10,335,0.00500102139846888,-0.0005001667222407358,0.49850746268656715,-0.028532795836595966,0.03688472466931122,-0.0677737653260605,local_evidence
oi_change_pct,JM,4,20,334,0.014655081435771907,0.007163668011058499,0.5389221556886228,-0.04331467341871537,0.06211873918331729,-0.09641052356935809,local_evidence
oi_change_pct,JM,4,40,331,0.035248521638591934,0.014661720544073553,0.5558912386706949,-0.06288080456817516,0.11127829195762465,-0.1320071633247502,local_evidence
oi_change_pct,JM,5,1,271,0.0006394371117852866,-0.00017953321364450048,0.47601476014760147,0.0006394371117852866,0.0006394371117852866,-0.02783818189782089,local_evidence
