condition,symbol,horizon,n,mean,median,win_rate,tail_loss_p05,evidence_type
HIGH_PRICE_OI_DECLINE,HC,20,165,0.018257705844674493,0.01828189502653821,0.6060606060606061,-0.07123189896742403,local_evidence
HIGH_PRICE_OI_DECLINE,HC,40,165,0.02459029909058499,0.0017737485218762838,0.509090909090909,-0.09033057157049737,local_evidence
HIGH_PRICE_OI_DECLINE,I,1,267,0.0011091138155851473,0.0006055101422948184,0.5205992509363296,-0.020362372764238433,local_evidence
HIGH_PRICE_OI_DECLINE,I,5,267,0.00470138857509983,0.002808002808002863,0.5468164794007491,-0.047316751045564584,local_evidence
HIGH_PRICE_OI_DECLINE,I,10,267,0.005422738061999943,0.0011883541295305555,0.5168539325842697,-0.08238207831688661,local_evidence
HIGH_PRICE_OI_DECLINE,I,20,267,0.01777155320715326,0.009154714678059284,0.5617977528089888,-0.05963893268838696,local_evidence
HIGH_PRICE_OI_DECLINE,I,40,267,0.03143947435226656,0.017807798587657464,0.6367041198501873,-0.10022729475622756,local_evidence
HIGH_PRICE_OI_DECLINE,J,1,180,0.001256985990554428,0.00046479624792872265,0.5277777777777778,-0.028437581229245307,local_evidence
HIGH_PRICE_OI_DECLINE,J,5,178,0.0019169525717201835,0.00247484521654584,0.5280898876404494,-0.07389057633603846,local_evidence
HIGH_PRICE_OI_DECLINE,J,10,175,0.007201760435944074,-0.007514900233220989,0.46285714285714286,-0.08708118102492887,local_evidence
HIGH_PRICE_OI_DECLINE,J,20,174,0.02226116953963023,0.01079042609660763,0.5574712643678161,-0.1220144639357646,local_evidence
HIGH_PRICE_OI_DECLINE,J,40,174,0.020080655122597147,-0.013375113005208716,0.47701149425287354,-0.16368164852904185,local_evidence
HIGH_PRICE_OI_DECLINE,JM,1,202,0.0005117474712443958,-0.0009434260067492928,0.4603960396039604,-0.0334396751131327,local_evidence
HIGH_PRICE_OI_DECLINE,JM,5,199,-0.0002943536054610134,0.0009107468123861207,0.5175879396984925,-0.08382811037998751,local_evidence
HIGH_PRICE_OI_DECLINE,JM,10,198,0.003564244466491022,0.005523100201211939,0.5202020202020202,-0.09542335718554691,local_evidence
HIGH_PRICE_OI_DECLINE,JM,20,194,0.005101681572895052,0.010277463046054702,0.5773195876288659,-0.1592909156049913,local_evidence
HIGH_PRICE_OI_DECLINE,JM,40,194,-0.005560619295459505,-0.023467748620722706,0.4639175257731959,-0.2963576827649876,local_evidence
HIGH_PRICE_OI_DECLINE,LC,1,48,0.0013188343528248946,0.0061528910113020086,0.5416666666666666,-0.111678943446538,local_evidence
HIGH_PRICE_OI_DECLINE,LC,5,48,0.008587128699827336,-0.016425238828538746,0.4791666666666667,-0.12007140345083815,local_evidence
HIGH_PRICE_OI_DECLINE,LC,10,48,0.03116319571139954,0.0032810216719739715,0.5,-0.1550296318644432,local_evidence
HIGH_PRICE_OI_DECLINE,LC,20,48,0.06253919154049029,0.0021791923293414395,0.5,-0.189403271521713,local_evidence
HIGH_PRICE_OI_DECLINE,LC,40,48,0.17330514113016005,0.03533030344764265,0.5833333333333334,-0.2219873385315463,local_evidence
